Year of YearDate	Local Health District	Locality	Bachelor's degree or higher (B23006)	Cost Burdened Households	Home Ownership Rate	Housing units with a mortgage- 30.0% + (DP04)	Housing units without a mortgage - 30.0% + (DP04)	LEP Pop2	LEP Population (S1601)	Less than high school graduate (B23006)	Occupied housing units (DP04)	Occupied rentals - 30.0% + (DP04)	Owner-occupied housing units (DP04)	PopEst Total Population	Population 18-64 (DP05)	Population 65+ (DP05)	Population Under 18 (DP05)	Total Population 25-64 (B23006)	Total Population 5+ (S1601)	Working Age	Working Age Population w/ a Bachelor Degree	Working Age Population w/o a HS Diploma	Voter Turnout	Voter Turnout2	WCRegion	WCRegion_ID	# Unemployed (LMI)	0-17 Poverty Count (SAIPE)	0-17 Poverty Universe (SAIPE)	ACS Year	AHEC_ID	Arrests per 1,000 Residents	Arrests per 1,000 Residents - % of Va. Total	Average earnings per job (dollars) (BEA)	BEA Combined with:	BEA_fips	BEAFIPS	Below poverty level; 18 to 64 years (S1701)	Below poverty level; 65+ (S1701)	Below poverty level; Population for whom poverty status is determined (S1701)	Below poverty level; Under 18 years (S1701)	CBSA Code	Children in Poverty	Civilian noninstitutionalized population (S2701)	COVF_ID	CSB_ID	Education Enrollment (Dept of Ed)	Education Expenditures (Dept of Ed)	Education Spending per Student	Education Spending per Student - % of Va. Total	ERSTypology_ID	FIPS	Fips (2017 Sdoh)	Geography Year Sum	HSARegion_ID	Income maintenance benefits (BEA)	Information	Instructions	Insured: 18-64 (SAHIE)	Insured: Under 65 (SAHIE)	Labor Force (LMI)	LHD Year Sum	LHD_ID	Locality (2017 SDOH)	Locality Year Sum 5yr%	Locality Year Sum Ann%	Locality Year Sum Ann$	Mean income (dollars) per person (S1902)	Measure Selector - 5yr%	Measure Selector - Ann%	Measure Selector - Ann$	Per Capita Income	Per Capita Income - % of Va. Total	Per Capita Income Maintenance Benefits	Per capita income maintenance benefits (BEA)	Per capita personal income (BEA)	Per Job Income	Personal income (thousands of dollars) (BEA)	PlanningDistrict_ID	PlanningDistrict_Label	Population (BEA)	Population 18-64 (S1701)	Population 18-64 (SAHIE)	Population 65 + (S1701)	Population below 200% FPL	Population for whom poverty status is determined (S1701)	Population in Poverty	Population Under 65 (SAHIE)	Poverty Count (SAIPE)	Poverty Universe (SAIPE)	RUCC_2013_Label	SAHIE Population under 18	SAHIE Uninsured Children	State	Total Employment; Number of Jobs (BEA)	Total Group A Offenses (Crime Report)	Total Housing Units (DP05)	Total Population (DP05)	Total population (S1902)	Total Population Estimate (CB)	Total Population; Under 18 years (S1701)	Total Voting Age Citizens (Voting)	Total; All Individuals below: - 200 %+ FPL (S1701)	Unemployment Rate	Uninsured Children	Uninsured population (S2701)	Uninsured Population2	Uninsured: 18-64 (SAHIE)	Uninsured: Under 65 (SAHIE)	Virginia Year Sum	Virginia Year Sum (Values)	Virginia Year Sum Ann%	WIA_ID	WIA_Label	Year	YearDate
2014	Chesterfield	Chesterfield	67323	30%	77%	19860	1891	4%	13413.4	14520	115005	12301	88056	324337	205181	37702	81454	175887	304850	63%	38%	8%	101491	44%	Richmond	Richmond	9131	8929	80007	2010	3	23	1	47450	NA	51041	51041	14212	1425	23079	7442	40060	11%	321365	1	7	59191.24	534058002.34	$9,023	$1	0	51041	51041	5841025.2%	4	174366	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	178223	253808	177619	29.4%	7	Chesterfield County	29.6%	11%	$47,450	32942	30%	11%	$47,450	$46,408	95%	$524	524	46408	$47,450	15432465	15	Richmond Regional	332537	202096	205009	37321	20%	319272	8%	284881	27051	327229	Metro - Counties in metro areas of 1 million population or more	79872	4287	Virginia	172387	7634	124384	324337	324337	332537	79855	230815	64738	5%	5%	32884	11%	26786	31073	32.6%	$58,737.37	16%	9	Area IX	2014	1/1/2014 12:00:00 AM
2014	Chesterfield	Powhatan	4624	28%	88%	2012	204	1%	216.192	1586	9590	463	8425	28193	18381	3954	5858	16146	27024	65%	29%	10%	9743	44%	Richmond	Richmond	623	480	5274	2010	3	9	1	39220	NA	51145	51145	950	164	1365	251	40060	9%	25371	1	15	4233.7	42940991.09	$10,143	$1	4	51145	51145	5841025.2%	4	8922	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	14385	19271	13677	29.4%	7	Powhatan County	27.9%	9%	$39,220	31918	28%	9%	$39,220	$45,821	78%	$313	313	45821	$39,220	1304851	15	Richmond Regional	28477	15766	16538	3933	14%	25316	7%	21803	1855	26234	Metro - Counties in metro areas of 1 million population or more	5265	379	Virginia	11094	256	10195	28193	28193	28477	5617	22110	3662	5%	7%	2038	12%	2153	2532	32.6%	$58,737.37	16%	9	Area IX	2014	1/1/2014 12:00:00 AM
2014	Chickahominy	Charles City	508	30%	80%	489	143	0%	20.637	758	2832	220	2279	7154	4564	1370	1220	4061	6879	64%	13%	19%	2501	42%	Richmond	Richmond	223	209	1093	2010	3	4	0	42075	NA	51036	51036	573	149	972	250	40060	19%	7151	1	19	735.43	9714307.78	$13,209	$1	0	51036	51036	5841025.2%	4	4959	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	3555	4546	3722	26.6%	8	Charles City County	30.1%	19%	$42,075	26053	30%	19%	$42,075	$39,385	84%	$707	707	39385	$42,075	276326	15	Richmond Regional	7016	4564	4433	1370	34%	7130	13%	5529	919	7004	Metro - Counties in metro areas of 1 million population or more	1096	105	Virginia	2312	30	3263	7154	7154	7016	1196	5910	2397	6%	10%	944	18%	878	983	32.6%	$58,737.37	16%	9	Area IX	2014	1/1/2014 12:00:00 AM
2014	Chickahominy	Goochland	4932	25%	88%	1532	131	1%	248.784	1108	8212	422	7194	21627	13602	3766	4259	12394	20732	63%	40%	9%	9388	55%	Richmond	Richmond	507	426	4113	2010	3	6	0	80623	NA	51075	51075	662	201	1235	372	40060	10%	19996	1	15	2437.49	27029559.59	$11,089	$1	0	51075	51075	5841025.2%	4	7690	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	11666	15574	10551	26.6%	8	Goochland County	25.4%	10%	$80,623	46306	25%	10%	$80,623	$81,655	161%	$351	351	81655	$80,623	1791015	15	Richmond Regional	21934	12114	12580	3720	16%	19997	7%	16676	1567	20937	Metro - Counties in metro areas of 1 million population or more	4096	188	Virginia	18580	128	8726	21627	21627	21934	4163	17150	3133	5%	5%	1327	7%	914	1102	32.6%	$58,737.37	16%	9	Area IX	2014	1/1/2014 12:00:00 AM
2014	Chickahominy	Hanover	21652	27%	82%	6250	887	2%	1435.725	2774	37041	2813	30490	100689	62308	14441	23940	53504	95715	62%	40%	5%	38904	52%	Richmond	Richmond	2555	1806	23003	2010	3	19	1	44867	NA	51085	51085	3286	681	5418	1451	40060	8%	99845	1	17	18179.4	164513690.05	$9,049	$1	0	51085	51085	5841025.2%	4	34967	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	55047	77031	55856	26.6%	8	Hanover County	26.9%	8%	$44,867	34241	27%	8%	$44,867	$51,486	89%	$343	343	51486	$44,867	5243690	15	Richmond Regional	101846	60740	61260	14201	17%	98562	6%	84240	6140	100011	Metro - Counties in metro areas of 1 million population or more	22980	996	Virginia	66060	1931	39026	100689	100689	101846	23621	75510	16388	5%	4%	5779	9%	6213	7209	32.6%	$58,737.37	16%	9	Area IX	2014	1/1/2014 12:00:00 AM
2014	Chickahominy	New Kent	2938	25%	88%	1379	178	1%	164.853	990	7106	224	6253	19187	12406	2555	4226	11085	18317	65%	27%	9%	7186	49%	Richmond	Richmond	503	394	4052	2010	3	15	1	33145	NA	51127	51127	571	127	1009	311	40060	10%	18601	1	19	2969.71	27400737.14	$9,227	$1	0	51127	51127	5841025.2%	4	7861	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	10746	14513	11088	26.6%	8	New Kent County	25.1%	10%	$33,145	33839	25%	10%	$33,145	$52,407	66%	$393	393	52407	$33,145	1049126	15	Richmond Regional	20019	11871	12368	2531	14%	18600	6%	16435	1201	19437	Metro - Counties in metro areas of 1 million population or more	4067	300	Virginia	7236	300	7612	19187	19187	20019	4198	14760	2607	5%	7%	1310	12%	1622	1922	32.6%	$58,737.37	16%	9	Area IX	2014	1/1/2014 12:00:00 AM
2014	Henrico	Henrico	73296	34%	64%	18785	1915	6%	17089.178	14641	123821	20871	79065	314878	199130	40976	74772	173156	294641	63%	42%	8%	98516	44%	Richmond	Richmond	9026	12876	74664	2010	3	10	1	63980	NA	51087	51087	19162	2462	33436	11812	40060	17%	312547	1	19	50500.95	453391309.58	$8,978	$1	0	51087	51087	5841025.2%	4	221001	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	172617	243044	176429	33.6%	14	Henrico County	33.6%	17%	$63,980	33576	34%	17%	$63,980	$55,725	128%	$685	685	55725	$63,980	17981681	15	Richmond Regional	322685	198274	201332	39659	26%	311822	11%	275633	34985	319063	Metro - Counties in metro areas of 1 million population or more	74301	3874	Virginia	234899	3114	133795	314878	314878	322685	73889	221725	79896	5%	5%	36876	12%	28715	32589	32.6%	$58,737.37	16%	9	Area IX	2014	1/1/2014 12:00:00 AM
2014	Richmond	Richmond City	42494	45%	43%	10156	2204	5%	9091.486	18457	85913	26104	36704	211063	148132	23757	39174	115520	197641	70%	37%	16%	51996	32%	Richmond	Richmond	6932	15362	39446	2010	3	30	2	66546	NA	51760	51760	32718	3476	51295	15101	40060	39%	208551	1	35	23548.53	299806588.45	$12,731	$1	4	51760	51760	5841025.2%	4	261525	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	111834	148546	112500	44.8%	28	Richmond City	44.8%	39%	$66,546	27860	45%	39%	$66,546	$47,991	133%	$1,208	1208	47991	$66,546	10391986	15	Richmond Regional	216541	139444	142842	23091	45%	200784	25%	182076	51415	205532	Metro - Counties in metro areas of 1 million population or more	39234	2522	Virginia	183943	6452	99123	211063	211063	216541	38249	162130	91135	6%	6%	36408	18%	31008	33530	32.6%	$58,737.37	16%	9	Area IX	2014	1/1/2014 12:00:00 AM
2014	Rappahannock	Caroline	3272	30%	81%	2083	276	2%	434.56	2193	10728	829	8737	29057	18211	4063	6783	15733	27160	63%	21%	14%	7640	35%	Richmond	Richmond	915	1190	6864	2010	5	16	1	37005	NA	51033	51033	1785	321	3411	1305	40060	17%	27374	1	32	4304.89	39368178.56	$9,145	$1	4	51033	51033	4600611.6%	1	22700	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	15150	21600	14787	31.4%	26	Caroline County	29.7%	17%	$37,005	26403	30%	17%	$37,005	$36,509	74%	$762	762	36509	$37,005	1088089	16	George Washington R.C.	29803	16678	17959	3964	31%	27281	11%	24852	3206	29159	Metro - Counties in metro areas of 1 million population or more	6893	443	Virginia	8704	483	11857	29057	29057	29803	6639	22000	8482	6%	6%	3749	13%	2809	3252	32.6%	$58,737.37	16%	13	Area XIII	2014	1/1/2014 12:00:00 AM
2014	Crater	Dinwiddie	2304	26%	75%	1348	415	1%	344.617	2333	9956	837	7467	27993	17760	4261	5972	15283	26509	63%	15%	15%	10801	50%	Richmond	Richmond	872	987	5573	2010	6	9	1	40217	Colonial Heights & Petersburg	51918	51918	2323	495	3755	937	40060	18%	27582	1	28	4398.65	42141983.83	$9,581	$1	0	51053	51053	4522535.6%	4	97409	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	14629	19835	13476	32.7%	9	Dinwiddie County	26.1%	18%	$40,217	23766	26%	18%	$40,217	$36,727	80%	$1,253	1253	36727	$40,217	2854229	19	Crater	77714	17314	17355	4205	29%	27353	12%	22912	3316	27331	Metro - Counties in metro areas of 1 million population or more	5557	351	Virginia	41204	253	11504	27993	27993	28129	5834	21650	7802	6%	6%	3957	13%	2726	3077	32.6%	$58,737.37	16%	15	Area XV	2014	1/1/2014 12:00:00 AM
2014	Crater	Petersburg City	2640	42%	45%	1324	248	2%	687.769	3582	12515	3657	5583	32439	20640	4917	6882	17098	29903	64%	15%	21%	7820	31%	Richmond	Richmond	1485	2622	6994	2010	6	36	2		Dinwiddie County & Colonial Heights	51918	51918	4961	652	8714	3101	40060	37%	31528	1	28	4393.56	47917352.03	$10,906	$1	0	51730	51730	4522535.6%	4		Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	16660	23247	13812	32.7%	9	Petersburg City	41.8%	37%		18535	42%	37%									19	Crater		20397	20460	4618	51%	31683	26%	27410	8256	31997	Metro - Counties in metro areas of 1 million population or more	6950	363	Virginia		1146	16475	32439	32439	32097	6668	24830	16243	11%	5%	6144	15%	3800	4163	32.6%	$58,737.37	16%	15	Area XV	2014	1/1/2014 12:00:00 AM
2014	Crater	Prince George	3919	28%	70%	1262	304	2%	766.744	2381	10906	1526	7683	36792	24602	4186	8004	21000	34852	67%	19%	11%	9112	32%	Richmond	Richmond	934	1019	7829	2010	6	12	1	68055	Hopewell	51941	51941	2093	215	3281	973	40060	13%	31521	1	28	6245.46	58691158.29	$9,397	$1	4	51149	51149	4522535.6%	4	58794	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	17540	24838	14778	32.7%	9	Prince George County	28.4%	13%	$68,055	24521	28%	13%	$68,055	$35,584	136%	$985	985	35584	$68,055	2123492	19	Crater	59675	20346	20234	4140	25%	32454	10%	28007	3424	32619	Metro - Counties in metro areas of 1 million population or more	7773	475	Virginia	35910	468	12136	36792	36792	37545	7968	28175	8224	6%	6%	2951	11%	2694	3169	32.6%	$58,737.37	16%	15	Area XV	2014	1/1/2014 12:00:00 AM
2014	Crater	Hopewell City	1340	36%	53%	967	263	3%	557.577	1924	8774	1946	4634	22375	13290	3446	5639	11392	20651	59%	12%	17%	4837	30%	Richmond	Richmond	872	1723	5509	2010	6	38	2		Prince George County	51941	51941	2181	352	3885	1352	40060	31%	22099	1	28	4265.82	43768997.05	$10,260	$1	4	51670	51670	4522535.6%	4		Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	10681	15903	9669	32.7%	9	Hopewell City	36.2%	31%		21041	36%	31%									19	Crater		13260	13164	3263	43%	21913	20%	18672	4268	21854	Metro - Counties in metro areas of 1 million population or more	5508	286	Virginia		833	10185	22375	22375	22130	5390	16090	9399	9%	5%	3550	15%	2483	2769	32.6%	$58,737.37	16%	15	Area XV	2014	1/1/2014 12:00:00 AM
2014	Piedmont	Amelia	1034	27%	82%	753	154	1%	144.768	1175	4761	393	3886	12764	7873	2147	2744	6939	12064	62%	15%	17%	4095	41%	Southside	Southside	328	505	2668	2010	6	6	0	41872	NA	51007	51007	821	98	1210	291	40060	19%	12656	1	9	1787.95	17731200.92	$9,917	$1	0	51007	51007	4522535.6%	4	9786	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	6404	8828	6215	29.5%	22	Amelia County	27.3%	19%	$41,872	25545	27%	19%	$41,872	$39,241	83%	$767	767	39241	$41,872	500876	14	Commonwealth R.C.	12764	7867	7840	2057	35%	12658	13%	10507	1636	12717	Metro - Counties in metro areas of 1 million population or more	2667	243	Virginia	4337	73	5400	12764	12764	12764	2734	9975	4406	5%	9%	1582	16%	1436	1679	32.6%	$58,737.37	16%	8	Area VIII	2014	1/1/2014 12:00:00 AM
2014	Crater	Sussex	597	28%	65%	322	123	1%	113.93	2249	3261	478	2124	11923	8399	1577	1947	7402	11393	70%	8%	30%	3004	31%	Southside	Southside	321	566	1857	2010	6	15	1	41963	NA	51183	51183	933	128	1589	528	40060	30%	7068	1	28	1094.06	18618084.44	$17,017	$2	4	51183	51183	4522535.6%	4	11546	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	4553	6277	4112	32.7%	9	Sussex County	28.3%	30%	$41,963	14316	28%	30%	$41,963	$27,957	84%	$984	984	27957	$41,963	327968	19	Crater	11731	3675	5515	1472	46%	7075	24%	7359	2185	9139	Metro - Counties in metro areas of 1 million population or more	1844	120	Virginia	4912	174	4201	11923	11923	11731	1928	9770	3272	8%	7%	654	15%	962	1082	32.6%	$58,737.37	16%	15	Area XV	2014	1/1/2014 12:00:00 AM
2014	West Piedmont	Franklin	6065	28%	78%	3560	921	2%	857.168	3742	23248	2095	18072	56360	34222	10866	11272	29398	53573	61%	21%	13%	15803	36%	Southside	Southside	1460	2614	10932	2010	7	15	1	33757	NA	51067	51067	4273	970	7943	2700	40220	24%	56025	8	29	7360.16	76448311.06	$10,387	$1	0	51067	51067	4006848.2%	3	40146	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	26562	36657	27192	27.5%	34	Franklin County	28.3%	24%	$33,757	24789	28%	24%	$33,757	$35,358	67%	$714	714	35358	$33,757	1988128	12	West Piedmont	56228	33082	32505	10635	36%	54812	16%	43441	8927	54801	Metro - Counties in metro areas of 250,000 to 1 million population	10936	841	Virginia	22916	856	29386	56360	56360	56228	11095	44305	19942	5%	8%	7613	16%	5943	6784	32.6%	$58,737.37	16%	3	Area III	2014	1/1/2014 12:00:00 AM
2014	Piedmont	Buckingham	1102	26%	76%	813	176	1%	177.496	2321	5802	514	4431	17072	11161	2632	3279	9749	16136	65%	11%	24%	3953	29%	Southside	Southside	431	846	3122	2010	6	14	1	39913	NA	51029	51029	1670	337	3189	1182	16820	27%	14410	1	9	2102.11	22183436.95	$10,553	$1	4	51029	51029	4522535.6%	4	15901	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	7182	10067	6310	29.5%	22	Buckingham County	25.9%	27%	$39,913	17345	26%	27%	$39,913	$26,342	80%	$940	940	26342	$39,913	445595	14	Commonwealth R.C.	16916	8614	8968	2561	41%	14382	23%	12094	3376	14802	Metro - Counties in metro areas of fewer than 250,000 population	3126	241	Virginia	4881	238	7255	17072	17072	16916	3207	13580	5904	7%	8%	2305	17%	1786	2027	32.6%	$58,737.37	16%	8	Area VIII	2014	1/1/2014 12:00:00 AM
2014	Piedmont	Charlotte	1014	29%	73%	566	236	1%	116.42	1132	4691	546	3416	12399	7179	2403	2817	6196	11642	58%	16%	18%	3621	38%	Southside	Southside	360	787	2587	2010	6	13	1	30328	NA	51037	51037	1220	317	2359	822	31370	30%	12260	5	9	1981.59	22529437.91	$11,369	$1	0	51037	51037	4522535.6%	4	12659	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	5534	7874	5306	29.5%	22	Charlotte County	28.7%	30%	$30,328	18767	29%	30%	$30,328	$30,403	60%	$1,041	1041	30403	$30,328	369547	14	Commonwealth R.C.	12155	7109	7094	2350	50%	12217	21%	9660	2496	12039	Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area	2566	226	Virginia	5029	164	6288	12399	12399	12155	2758	9460	6092	7%	9%	2501	18%	1560	1786	32.6%	$58,737.37	16%	8	Area VIII	2014	1/1/2014 12:00:00 AM
2014	Piedmont	Cumberland	707	28%	76%	645	176	0%	28.017	920	4038	326	3070	9916	5997	1769	2150	5050	9339	60%	14%	18%	2797	36%	Southside	Southside	279	599	2041	2010	6	12	1	35905	NA	51049	51049	953	207	1827	667	31370	29%	9913	1	9	1431.97	15101974.5	$10,546	$1	0	51049	51049	4522535.6%	4	10085	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	4672	6549	4543	29.5%	22	Cumberland County	28.4%	29%	$35,905	22922	28%	29%	$35,905	$33,091	72%	$1,027	1027	33091	$35,905	324817	14	Commonwealth R.C.	9816	5997	5906	1766	43%	9854	19%	7931	1861	9802	Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area	2025	148	Virginia	2329	121	4641	9916	9916	9816	2091	7765	4199	6%	7%	1866	17%	1234	1382	32.6%	$58,737.37	16%	8	Area VIII	2014	1/1/2014 12:00:00 AM
2014	Crater	Surry	767	21%	79%	304	110	0%	0	563	2652	145	2088	6885	4335	1206	1344	3721	6557	63%	21%	15%	2603	47%	Southside	Southside	229	247	1230	2010	6	13	1	77991	NA	51181	51181	480	71	786	235	31370	20%	6878	3	28	913.39	14924435.61	$16,340	$1	0	51181	51181	4522535.6%	4	5644	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	3600	4742	3668	32.7%	9	Surry County	21.1%	20%	$77,991	24469	21%	20%	$77,991	$38,374	155%	$831	831	38374	$77,991	260672	19	Crater	6793	4335	4271	1206	37%	6885	13%	5488	878	6781	Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area	1217	75	Virginia	2993	86	3478	6885	6885	6793	1344	5525	2514	6%	6%	1080	14%	671	746	32.6%	$58,737.37	16%	15	Area XV	2014	1/1/2014 12:00:00 AM
2014	West Piedmont	Patrick	1111	24%	76%	786	336	1%	123.627	1387	7678	710	5840	18365	10706	4177	3482	9480	17661	58%	12%	15%	4962	34%	Southside	Southside	520	1037	3262	2010	7	17	1	30605	NA	51141	51141	2087	518	3657	1052	31370	32%	18144	5	29	2739.21	25083205.92	$9,157	$1	3	51141	51141	4006848.2%	3	17316	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	8450	11453	7733	27.5%	34	Patrick County	23.9%	32%	$30,605	18916	24%	32%	$30,605	$29,480	61%	$950	950	29480	$30,605	537354	12	West Piedmont	18228	10649	10493	4013	46%	18140	22%	13753	3934	17961	Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area	3260	257	Virginia	7496	317	10095	18365	18365	18228	3478	14615	8388	7%	8%	2822	17%	2043	2300	32.6%	$58,737.37	16%	17	Area XVII	2014	1/1/2014 12:00:00 AM
2014	Piedmont	Lunenburg	881	27%	74%	530	286	2%	264.99	1713	4634	441	3429	12667	7941	2328	2398	6893	12045	63%	13%	25%	3326	33%	Southside	Southside	316	657	2291	2010	6	12	1	34923	NA	51111	51111	1297	382	2234	555	31370	29%	11275	5	9	1576.49	15660009.14	$9,933	$1	4	51111	51111	4522535.6%	4	13507	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	5313	7411	5346	29.5%	22	Lunenburg County	27.1%	29%	$34,923	18595	27%	29%	$34,923	$29,964	70%	$1,082	1082	29964	$34,923	374036	14	Commonwealth R.C.	12483	6604	6778	2288	48%	11243	22%	9063	2565	11462	Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area	2285	187	Virginia	3969	147	5934	12667	12667	12483	2351	10055	5352	6%	8%	1657	18%	1465	1652	32.6%	$58,737.37	16%	8	Area VIII	2014	1/1/2014 12:00:00 AM
2014	Piedmont	Nottoway	1039	41%	64%	835	231	2%	267.858	1670	5640	1274	3609	15756	9793	2769	3194	8409	14881	62%	12%	20%	3850	31%	Southside	Southside	380	969	3140	2010	6	17	1	39309	NA	51135	51135	2020	378	3029	631	31370	31%	14722	5	9	2316.65	22098358.08	$9,539	$1	4	51135	51135	4522535.6%	4	18688	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	6555	9463	7086	29.5%	22	Nottoway County	41.5%	31%	$39,309	19208	41%	31%	$39,309	$34,255	78%	$1,204	1204	34255	$39,309	531596	14	Commonwealth R.C.	15519	9043	8064	2585	47%	14490	24%	11181	3334	13696	Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area	3117	209	Virginia	7555	264	6685	15756	15756	15519	2862	12245	6788	5%	7%	2315	15%	1509	1718	32.6%	$58,737.37	16%	8	Area VIII	2014	1/1/2014 12:00:00 AM
2014	Piedmont	Prince Edward	2262	27%	66%	752	324	1%	266.124	1793	7604	1008	5021	23140	15929	3373	3838	9578	22177	69%	24%	19%	4968	26%	Southside	Southside	771	1122	3723	2010	6	17	1	38130	NA	51147	51147	2821	349	4164	994	31370	30%	22519	5	9	2253.59	24759735.41	$10,987	$1	4	51147	51147	4522535.6%	4	22547	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	9646	13127	10038	29.5%	22	Prince Edward County	27.4%	30%	$38,130	17779	27%	30%	$38,130	$27,612	76%	$978	978	27612	$38,130	636603	14	Commonwealth R.C.	23055	11639	11945	3215	49%	18636	25%	15661	4822	18912	Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area	3716	235	Virginia	11538	394	9234	23140	23140	23055	3782	19105	9120	8%	6%	3286	16%	2299	2534	32.6%	$58,737.37	16%	8	Area VIII	2014	1/1/2014 12:00:00 AM
2014	Southside	Brunswick	1314	32%	74%	850	360	1%	161.92	2028	5865	696	4335	16961	10812	3015	3134	9090	16192	64%	14%	22%	4485	33%	Southside	Southside	522	905	2877	2010	6	10	1	35186	NA	51025	51025	1812	442	3491	1237	31370	31%	15254	5	37	1908.04	21419564	$11,226	$1	0	51025	51025	4522535.6%	4	20090	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	7074	9748	6472	29.0%	30	Brunswick County	32.5%	31%	$35,186	17920	32%	31%	$35,186	$30,099	70%	$1,220	1220	30099	$35,186	495826	13	Southside	16473	8829	8756	2929	42%	14848	22%	11617	3205	14633	Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area	2861	187	Virginia	5833	157	8164	16961	16961	16473	3090	13730	6208	8%	7%	2102	16%	1682	1869	32.6%	$58,737.37	16%	8	Area VIII	2014	1/1/2014 12:00:00 AM
2014	Southside	Halifax	2989	28%	73%	1635	701	1%	304.74	2782	14472	1653	10574	35704	20672	7357	7675	18057	33860	58%	17%	15%	9845	35%	Southside	Southside	1217	1827	7215	2010	6	19	1	38912	NA	51083	51083	3863	1071	7052	2118	31370	25%	34982	5	37	5526.05	53582387.78	$9,696	$1	0	51083	51083	4522535.6%	4	40179	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	16426	23169	15569	29.0%	30	Halifax County	27.6%	25%	$38,912	19777	28%	25%	$38,912	$32,781	78%	$1,141	1141	32781	$38,912	1154528	13	Southside	35219	20264	19866	7077	47%	34914	18%	27038	6180	34387	Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area	7172	429	Virginia	16367	678	18041	35704	35704	35219	7573	27870	16300	8%	6%	5251	14%	3440	3869	32.6%	$58,737.37	16%	8	Area VIII	2014	1/1/2014 12:00:00 AM
2014	Crater	Greensville	600	29%	73%	357	301	1%	90.712	1442	3397	336	2482	11911	8223	1661	2027	7156	11339	69%	8%	20%	2782	28%	Southside	Southside	276	541	1988	2010	6	7	0	39241	Emporia	51923	51923	850	187	1649	612	31370	27%	8246	5	28	2564.53	25011689.52	$9,753	$1	3	51081	51081	4522535.6%	4	22320	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	4172	6039	4249	32.7%	9	Greensville County	29.3%	27%	$39,241	14992	29%	27%	$39,241	$29,946	78%	$1,304	1304	29946	$39,241	512430	19	Crater	17112	4707	4968	1543	47%	8231	25%	6946	2165	8609	Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area	1978	111	Virginia	9384	76	4118	11911	11911	11527	1981	9765	3888	6%	6%	902	13%	796	907	32.6%	$58,737.37	16%	15	Area XV	2014	1/1/2014 12:00:00 AM
